"","follow","birthyr","turnout12","vote12","meet","march","compromise","ftobama","ftblack","ftwhite","fthisp","ftgay","fttrump","fthrc","ftsanders","ftpolice","ftfem","ftmuslim","ftsci","econnow","lcself","disc_b","disc_h","disc_g","disc_w","disc_m","disc_fed","disc_police","immig_numb","terror_worry","healthspend","finwell","warmcause","freetrade","stopblack","stop_ever","birthright_b","bo_muslim","amer_ident","marstat","employ","educ","gender","race","pid3","pid7","ideo5","pew_churatd","faminc","weight","dpolice.new"
"1","Most of the time",1960,"Definitely voted","Barack Obama","Extremely Likely","Have done this in past 4 years","Compromies to get things done",100,100,100,100,96,1,76,84,51,62,20,100,"2","Neither liberal nor conservative","A little","A little","A moderate amount","A little","A little","Treats whites a little better","Treats whites moderately better","Increased a moderate amount","Not at all worried","Increase a great deal","Moderately worse","Mostly by human activity","Neither favor nor oppose","Somewhat often","Has happened","Favor moderately","Not a Muslim","A little important","Married","Full-time","4-year","Male","White","Democrat","Strong Democrat","Not sure","Never",4,0.951160031,"Treats whites moderately better"
"2","Some of the Time",1957,"Probably did not vote","Not asked","A little likely","Have not done this in past 4 years","Compromies to get things done",39,6,74,6,75,28,52,13,65,53,22,91,"4","Neither liberal nor conservative","None at all","A moderate amount","A moderate amount","A lot","A little","Treats whites a little better","Treats whites a little better","Increased a little","Not asked","Incrase moderately","A little worse","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Not asked","Not asked","Not a Muslim","Moderately important","Divorced","Full-time","Post-grad","Female","White","Indepent","Independent","Liberal","A few times a year",8,2.670196209,"Treats whites a little better"
"3","Most of the time",1963,"Definitely voted","Mitt Romney","Extremely Likely","Have done this in past 4 years","Sticks to his or her principles",1,50,50,50,16,100,1,2,85,2,5,61,"5","Somewhat conservative","None at all","None at all","None at all","A lot","A lot","Treats blacks moderately better","Treats blacks a little better","Decreased a moderate amount","Extremely worried","Decrease moderately","A great deal worse","Mostly by natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Muslim","Extremely important","Single","Unemployed","4-year","Male","White","Republican","Weak Republican","Conservative","Never",1,1.43038958,NA
"4","Most of the time",1980,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",89,61,64,61,62,0,69,71,56,60,61,96,"2","Somewhat liberal","A moderate amount","A little","A moderate amount","None at all","None at all","Treats whites a little better","Treats whites much better","Increased a moderate amount","Not at all worried","Increase a great deal","Moderately worse","Mostly by human activity","Oppose a little","Somewhat often","Not asked","Not asked","Not a Muslim","A little important","Married","Full-time","4-year","Male","White","Democrat","Strong Democrat","Liberal","Never",12,0.913966183,"Treats whites much better"
"5","Most of the time",1974,"Definitely voted","Mitt Romney","Very Likely","Have done this in past 4 years","Sticks to his or her principles",1,61,58,71,55,13,1,13,89,31,22,40,"4","Somewhat conservative","A moderate amount","A little","None at all","A great deal","A great deal","Treats Blacks much better","Treats both the same","Increased a lot","Not asked","Decrease a great deal","A great deal better","Mostly by natural causes","Neither favor nor oppose","Sometimes","Has happened","Oppose a little","Not a Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Other","Lean Republican","Conservative","Once a week",10,0.263934577,"Treats both the same"
"6","Most of the time",1958,"Definitely voted","Someone Else","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",0,50,51,51,46,61,1,11,55,0,11,71,"4","Somewhat conservative","A little","A little","A little","A little","None at all","Treats blacks a little better","Treats both the same","Increased a moderate amount","Very worried","Decrease a great deal","A great deal worse","Mostly by natural causes","Favor a great deal","Sometimes","Has happened","Not asked","Muslim","A little important","Married","Full-time","Post-grad","Male","White","Indepent","Independent","Conservative","Once a week",7,1.463117683,"Treats both the same"
"7","Most of the time",1978,"Definitely voted","Someone Else","Extremely Likely","Have not done this in past 4 years","Compromies to get things done",73,100,70,100,100,5,60,100,34,100,100,100,"2","Very liberal","A great deal","A lot","A lot","None at all","None at all","Treats whites much better","Treats whites much better","Increased a lot","Slightly worried","Increase a great deal","Moderately worse","Mostly by human activity","Oppose moderately","Very often","Not asked","Not asked","Not a Muslim","Not important at all","Single","Permanently disabled","Some college","Male","White","Democrat","Strong Democrat","Very liberal","Once a week",97,0.297196027,"Treats whites much better"
"8","Most of the time",1951,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",0,70,70,69,49,85,0,40,85,45,40,76,"3","Very conservative","A moderate amount","A moderate amount","A little","A little","A little","Treats blacks a little better","Treats whites a little better","Kept the same","Moderately worried","No Change","A little worse","Mostly by natural causes","Oppose moderately","Sometimes","Not asked","Not asked","Not a Muslim","Very important","Married","Full-time","High school graduate","Male","White","Republican","Strong Republican","Very conservative","Never",10,0.318027116,"Treats whites a little better"
"9","Most of the time",1973,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",12,50,50,50,5,70,3,31,80,21,12,50,"4","Somewhat conservative","A little","A little","A little","A little","A little","Treats both the same","Treats both the same","Increased a little","Moderately worried","Decrease a great deal","Moderately worse","Mostly by natural causes","Neither favor nor oppose","Sometimes","Has happened","Not asked","Not a Muslim","Very important","Married","Full-time","2-year","Male","White","Indepent","Independent","Conservative","Once a week",8,1.019466542,"Treats both the same"
"10","Most of the time",1936,"Definitely voted","Barack Obama","Extremely Likely","Have done this in past 4 years","Compromies to get things done",87,75,90,51,85,5,87,97,60,61,72,91,"2","Somewhat liberal","A lot","A moderate amount","A lot","A little","A little","Treats whites a little better","Treats whites much better","Increased a little","Slightly worried","Incrase moderately","A little worse","About equally by human activity and natural causes","Oppose moderately","Rarely","Has happened","Not asked","Not a Muslim","Very important","Married","Retired","Post-grad","Male","White","Democrat","Strong Democrat","Liberal","More than once a week",10,0.944399994,"Treats whites much better"
"11","Most of the time",1978,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",32,53,52,54,52,74,6,51,97,34,43,98,"4","Somewhat conservative","A little","A little","A moderate amount","A moderate amount","A little","Treats blacks a little better","Treats both the same","Kept the same","Extremely worried","Decrease a great deal","A little worse","Mostly by natural causes","Favor a great deal","Never","Has happened","Oppose moderately","Not a Muslim","Extremely important","Married","Full-time","Post-grad","Male","White","Republican","Weak Republican","Conservative","A few times a year",11,1.276142884,"Treats both the same"
"12","Most of the time",1943,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",10,80,80,80,70,95,10,10,90,50,50,90,"3","Somewhat conservative","A little","A little","A little","A little","None at all","Treats blacks a little better","Treats both the same","Decreased a little","Extremely worried","Decrease a little","A little worse","Mostly by natural causes","Oppose a little","Sometimes","Not asked","Not asked","Not a Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Indepent","Lean Republican","Conservative","Once a week",5,1.038475753,"Treats both the same"
"13","Most of the time",1936,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",70,88,90,90,86,39,49,90,91,80,81,91,"2","Closer to liberals","A moderate amount","A little","A lot","None at all","None at all","Treats blacks moderately better","Treats both the same","Decreased a little","Not asked","Incrase moderately","A great deal worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Not asked","Not a Muslim","Extremely important","Married","Retired","High school graduate","Male","White","Democrat","Lean Democrat","Moderate","A few times a year",5,0.632770459,"Treats both the same"
"14","Most of the time",1938,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",80,67,74,57,27,82,3,41,99,22,53,1,"5","Very conservative","A little","A little","A little","A little","None at all","Treats both the same","Treats both the same","Decreased a lot","Not asked","No Change","Moderately better","About equally by human activity and natural causes","Neither favor nor oppose","Rarely","Never happened","Oppose a great deal","Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Republican","Strong Republican","Very conservative","More than once a week",6,0.247985977,"Treats both the same"
"15","Most of the time",1956,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",4,99,99,87,98,91,1,1,99,54,2,70,"4","Somewhat conservative","A little","A little","A little","A little","None at all","Treats Blacks much better","Treats both the same","Decreased a moderate amount","Very worried","No Change","Moderately worse","Mostly by natural causes","Neither favor nor oppose","Sometimes","Has happened","Oppose a great deal","Muslim","Extremely important","Single","Full-time","Some college","Female","White","Republican","Strong Republican","Conservative","A few times a year",8,1.591205636,"Treats both the same"
"16","Some of the Time",1984,"Not completely sure","Someone Else","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,74,63,65,49,51,0,10,66,49,61,76,"4","Neither liberal nor conservative","A little","None at all","A little","A great deal","A great deal","Treats blacks moderately better","Treats both the same","Decreased a little","Not asked","Decrease a little","Moderately worse","Mostly by natural causes","Opposed a great deal","Very often","Not asked","Oppose a great deal","Not a Muslim","Very important","Single","Full-time","High school graduate","Male","Mixed","Indepent","Lean Republican","Moderate","A few times a year",97,2.286828214,"Treats both the same"
"17","Most of the time",1981,"Definitely voted","Barack Obama","Extremely Likely","Have done this in past 4 years","Compromies to get things done",66,63,58,54,64,51,79,77,48,69,61,43,"2","Somewhat liberal","None at all","None at all","None at all","None at all","A little","Treats whites a little better","Treats whites moderately better","Increased a little","Very worried","Increase a great deal","A little better","Mostly by human activity","Favor a little","Sometimes","Not asked","Favor a little","Not a Muslim","Moderately important","Married","Full-time","Post-grad","Male","White","Democrat","Strong Democrat","Moderate","Never",97,0.628917791,"Treats whites moderately better"
"18","Most of the time",1945,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",100,80,81,80,90,59,79,100,89,88,60,100,"3","Closer to liberals","A moderate amount","A little","A little","None at all","None at all","Treats whites moderately better","Treats whites moderately better","Kept the same","Moderately worried","No Change","A great deal worse","Mostly by human activity","Opposed a great deal","Somewhat often","Never happened","Favor moderately","Not a Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Democrat","Strong Democrat","Moderate","Never",8,0.676312612,"Treats whites moderately better"
"19","Most of the time",1961,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,100,95,100,50,86,0,0,100,0,15,100,"4","Very conservative","A little","A little","A little","A little","None at all","Treats both the same","Treats both the same","Decreased a lot","Extremely worried","Decrease a great deal","A great deal worse","Mostly by natural causes","Opposed a great deal","Rarely","Not asked","Oppose a great deal","Not a Muslim","Very important","Married","Full-time","Some college","Male","White","Indepent","Lean Republican","Very conservative","A few times a year",11,0.840171714,"Treats both the same"
"20","Most of the time",1958,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",96,92,94,92,84,1,87,81,63,94,60,94,"2","Somewhat liberal","A moderate amount","A moderate amount","A moderate amount","None at all","None at all","Treats whites a little better","Treats whites moderately better","Increased a little","Slightly worried","Incrase moderately","A little worse","Mostly by human activity","Favor a little","Somewhat often","Never happened","Not asked","Not a Muslim","A little important","Married","Full-time","Post-grad","Female","White","Democrat","Strong Democrat","Liberal","Never",15,0.898525525,"Treats whites moderately better"
"21","Most of the time",1950,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",99,95,81,100,100,2,94,61,74,89,100,96,"1","Somewhat liberal","A lot","A lot","A moderate amount","A little","None at all","Treats both the same","Treats whites moderately better","Kept the same","Not asked","Incrase moderately","Moderately worse","Mostly by human activity","Favor moderately","Sometimes","Has happened","Not asked","Not a Muslim","Very important","Single","Full-time","High school graduate","Female","White","Democrat","Weak Democrat","Liberal","Seldom",97,0.527683464,"Treats whites moderately better"
"22","Most of the time",1955,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",12,71,71,45,2,13,2,90,41,51,1,81,"5","Somewhat conservative","A little","A moderate amount","A little","A little","A little","Treats blacks a little better","Treats both the same","Decreased a lot","Extremely worried","Increase a little","A great deal worse","Mostly by human activity","Neither favor nor oppose","Somewhat often","Not asked","Not asked","Muslim","Extremely important","Married","Full-time","Post-grad","Male","White","Republican","Strong Republican","Very conservative","More than once a week",7,0.562600138,"Treats both the same"
