"","state","st","raperate","murderrate","abort","density","ineq","region","gunfree","alcfree","mjfree","marrfree","freedom","knowgov","evangel","poptotal","stuspend","ptratio","hsdiploma","democrat","pid","house","senate","inc","minwage","year","polscore","newimmig","popover65","percwom","medinc","turnout","margin","co2","femleg","corrupt","infant","trumpwin","weed","death","stand","obamawin","res","pred"
"1","Alabama","AL",31.9,6.9,16,86.1797,46.01423,"South",0.444921,-0.024292,-0.054232,-0.009304,21.6063,63.76,42.8,4700000,5273,15.77,77.5,30.54249,-0.033898,-1,0.976,34650,7.25,2016,-0.073118,4063,657792,75.49,42590,0.59,59.5446,130,11.4,23,9.53,1,0,1,1,0,-2.65341449557572,14.053414495576
"2","Alaska","AK",73.3,3.1,15,1.08848,34.1849,"West",0.93285,-0.003965,0.076145,-0.010426,28.5846,68.44,18.7,686293,8599,16.29,90.4,26.3818,-0.35,0,0.638,45529,7.75,2016,0.036343,1799,54938,79.02,57431,0.59,52.4528,43,18.3,NA,5.93,1,1,0,1,1,-7.1528858458808,25.4528858458808
"3","Arizona","AZ",32,5.4,20,42.1277,49.00724,"West",0.969988,0.016018,0.015321,-0.009304,32.4745,52.1,18.1,6500000,4785,20.75,85.1,28.86411,-0.102564,0,0.576,35875,7.9,2016,-0.058591,20333,881831,84,48621,0.53,37.1173,88,33.3,18,6.85,1,1,1,1,0,10.6844553723287,22.6155446276713
"4","Arkansas","AR",47.3,6.2,11,49.1096,46.83973,"South",0.520867,0.005779,-0.012482,-0.009304,-5.7844,67.08,39.9,2900000,5140,12.9,81.7,27.68069,0.084507,0,0.816,34014,6.25,2016,-0.022314,2874,419981,88.52,41302,0.51,78.298,62,17,8,7.84,1,1,1,0,0,0.494729090354106,16.5052709096459
"5","California","CA",23.6,5.3,33,211.977,51.47233,"West",-3.27063,0.015981,0.043902,0.041186,-85.7562,88.31,11.5,3.7e+07,5685,19.8,81.2,37.08743,0.179825,-1,-1.395,44481,9,2016,-0.088499,210591,4200000,89.94,53367,0.55,35.9504,368,30.8,52,5.32,0,1,1,0,1,7.80562930646273,22.9943706935373
"6","Colorado","CO",44.6,3.5,21,39.088,44.06749,"West",0.503762,0.018588,0.025245,0.015941,20.4615,50.54,14.8,4900000,5061,16.97,89.7,26.85935,0.125,0,-0.528,44088,8,2016,-0.002005,13547,549625,79.57,58629,0.7,32.5394,88,32,6,6.44,0,1,0,0,1,6.49089125400241,25.5091087459976
"7","Connecticut","CT",18.5,3,23,675.031,58.6954,"Northeast",-0.953246,0.006226,0.0089,0.041186,-24.9806,80.51,4.8,3500000,9594,12.94,88.2,34.03882,0.08642,0,-1.025,56889,8.7,2016,-0.129265,12577,506559,79.39,65415,0.61,44.4797,42,28.9,0,5.85,0,1,0,0,1,4.19078039169048,24.7092196083096
"8","Delaware","DE",38.2,4.6,24,380.424,41.56501,"South",-0.222597,0.015233,0.014457,-0.009678,21.8755,69.05,7.7,873092,7378,14.68,86.1,63.19503,0.238095,0,-0.473,41635,7.75,2016,0.015172,2355,129277,82.54,54660,0.63,50.2668,16,33.9,2,9.02,0,1,0,0,1,-1.7864518639911,35.6864518639911
"9","Florida","FL",29.7,5.5,32,279.368,57.52913,"South",0.369221,0.008413,-0.011001,-0.010426,16.9013,70.13,16.9,1.8e+07,5361,14.33,84,32.63936,-0.004545,0,0.335,39563,7.93,2016,-0.044407,109229,3300000,83.81,45105,0.64,58.5037,235,24.4,40,7.24,1,1,1,1,1,2.42087826909323,21.9791217309068
"10","Georgia","GA",23.4,5.8,21,134.107,47.81453,"South",0.590984,-0.002976,-0.013792,-0.009304,36.6238,64.94,30.3,9700000,6047,14.39,82.6,34.5983,0,-1,0.841,36104,5.15,2016,-0.056396,27015,1e+06,80.13,45973,0.58,79.5796,158,18.6,45,8.07,1,0,1,1,0,-2.04671616419402,20.6467161641941
"11","Hawaii","HI",30.3,1.7,27,184.436,37.11433,"West",-2.13804,0.004839,0.014457,0.015941,-67.2926,67.23,14.7,1300000,7714,15.71,87.4,48.81336,0.137931,-1,-0.728,43053,7.25,2016,-0.045086,7296,195138,78.03,59047,0.44,52.5948,19,31.6,NA,6.58,0,1,0,0,1,0.279040655584217,31.3209593444158
